<http://www.wikidata.org/entity/Q59325391> <http://www.wikidata.org/prop/direct/P1259> "Point(-20.6339634 65.6052786)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59326653> <http://www.wikidata.org/prop/direct/P625> "Point(2.1319603 48.8278506)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59326947> <http://www.wikidata.org/prop/direct/P625> "Point(9.2375 58.988861)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59329093> <http://www.wikidata.org/prop/direct/P625> "Point(26.875555555556 57.180277777778)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59330147> <http://www.wikidata.org/prop/direct/P625> "Point(134.218285 -19.653239)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59336336> <http://www.wikidata.org/prop/direct/P625> "Point(4.8829 44.9279)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59338831> <http://www.wikidata.org/prop/direct/P625> "Point(-93.0685125 34.4559231)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59339709> <http://www.wikidata.org/prop/direct/P625> "Point(10.242901 36.83305)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59339973> <http://www.wikidata.org/prop/direct/P625> "Point(45.306669444444 39.643738888889)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59340307> <http://www.wikidata.org/prop/direct/P625> "Point(7.4405555555556 61.415555555556)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59340346> <http://www.wikidata.org/prop/direct/P625> "Point(7.5763888888889 58.258611111111)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
